congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
1,President,5000,Pro-Administration,1,,,,
1,House,4000,Anti-Administration,29,0.018,0.092,-0.024379310344827595,0.14193103448275857
1,House,5000,Pro-Administration,37,0.578,0.057,0.5278378378378378,0.02575675675675677
2,President,5000,Pro-Administration,1,,,,
2,House,4000,Anti-Administration,32,-0.022,-0.079,-0.03909677419354839,-0.12206451612903224
2,House,5000,Pro-Administration,40,0.533,0.0825,0.5304,0.081625
3,President,5000,Pro-Administration,1,,,,
3,House,4000,Anti-Administration,56,-0.072,-0.151,-0.07198181818181817,-0.16261818181818177
3,House,5000,Pro-Administration,54,0.5894999999999999,0.0745,0.5637115384615387,0.05111538461538461
4,President,1,Federalist,1,,,,
4,House,1,Federalist,54,0.6034999999999999,0.1375,0.5615555555555557,0.14103703703703702
4,House,13,Democrat-Republican,61,-0.0975,-0.033,-0.11894999999999997,6.66666666666644e-05
5,President,1,Federalist,1,,,,
5,House,1,Federalist,64,0.622,-0.0165,0.5969218749999999,0.026218750000000006
5,House,13,Democrat-Republican,53,-0.108,-0.042,-0.13815094339622638,-0.07611320754716983
6,President,1,Federalist,1,,,,
6,House,1,Federalist,64,0.624,-0.07050000000000001,0.5918749999999999,-0.04340624999999999
6,House,13,Democrat-Republican,50,-0.068,-0.105,-0.10193877551020407,-0.16224489795918362
7,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
7,House,1,Federalist,40,0.622,-0.17049999999999998,0.6072000000000001,-0.031924999999999995
7,House,13,Democrat-Republican,74,-0.052,0.057,-0.08423287671232879,-0.02539726027397259
8,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
8,House,1,Federalist,40,0.615,-0.248,0.599102564102564,-0.21956410256410258
8,House,13,Democrat-Republican,110,-0.098,0.066,-0.10602752293577981,0.05273394495412846
9,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
9,House,1,Federalist,29,0.6074999999999999,-0.36950000000000005,0.5690357142857143,-0.37835714285714284
9,House,13,Democrat-Republican,120,-0.10350000000000001,0.0685,-0.09022881355932204,0.03726271186440681
10,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
10,House,1,Federalist,27,0.599,-0.429,0.5270370370370372,-0.38851851851851854
10,House,13,Democrat-Republican,122,-0.099,0.066,-0.06680165289256197,0.05728925619834707
11,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
11,House,1,Federalist,51,0.586,-0.43,0.5370588235294118,-0.40727450980392166
11,House,13,Democrat-Republican,103,-0.108,0.095,-0.08787378640776701,0.10989320388349509
12,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
12,House,1,Federalist,37,0.591,-0.43,0.5015675675675676,-0.42505405405405405
12,House,13,Democrat-Republican,110,-0.10200000000000001,0.107,-0.09451818181818183,0.10936363636363637
13,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
13,House,1,Federalist,72,0.58,-0.392,0.5247042253521127,-0.33983098591549293
13,House,13,Democrat-Republican,124,-0.08449999999999999,0.219,-0.08957258064516131,0.22309677419354856
14,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
14,House,1,Federalist,66,0.58,-0.415,0.5216000000000002,-0.3680923076923077
14,House,13,Democrat-Republican,133,-0.063,0.18,-0.056218045112781966,0.2003984962406016
15,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
15,House,1,Federalist,40,0.472,-0.2845,0.41375,-0.26959999999999995
15,House,13,Democrat-Republican,155,0.020499999999999997,0.155,0.014701298701298725,0.12035714285714295
16,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
16,House,1,Federalist,28,0.37,0.156,0.2581785714285715,0.012321428571428554
16,House,13,Democrat-Republican,173,0.08399999999999999,0.262,0.03152325581395346,0.1974244186046512
17,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
17,House,1,Federalist,36,0.36,0.147,0.27580000000000005,0.038199999999999984
17,House,13,Democrat-Republican,165,0.106,0.116,0.04647852760736191,0.0798895705521472
18,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
18,House,13,Democrat-Republican,4,0.257,0.635,0.34333333333333327,0.6073333333333334
18,House,1346,Jackson Republican,65,0.043,0.4585,-0.00140625000000001,0.416328125
18,House,6000,Crawford Federalist,2,0.202,-0.144,0.202,-0.144
18,House,7000,Jackson Federalist,7,0.153,0.338,0.13185714285714287,0.3691428571428571
18,House,7777,Crawford Republican,56,-0.305,-0.23,-0.19321818181818182,-0.1930727272727273
18,House,8000,Adams-Clay Federalist,15,0.289,0.04,0.24493333333333334,-0.19506666666666664
18,House,8888,Adams-Clay Republican,72,0.281,0.111,0.32314084507042246,0.04330985915492959
19,President,22,Adams,1,0.396,-0.147,0.396,-0.147
19,House,22,Adams,113,0.227,0.069,0.22389285714285725,0.032348214285714307
19,House,555,Jackson,112,-0.189,0.28300000000000003,-0.18252678571428566,0.17816071428571428
20,President,22,Adams,1,0.396,-0.147,0.396,-0.147
20,House,22,Adams,104,0.28200000000000003,0.11549999999999999,0.26475000000000004,0.09511538461538466
20,House,555,Jackson,118,-0.2205,0.242,-0.21379661016949156,0.17086440677966103
21,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
21,House,26,Anti Masonic,5,0.267,0.136,0.279,0.14340000000000003
21,House,555,Jackson,142,-0.2625,0.0505,-0.24328873239436627,0.00183098591549298
21,House,1275,Anti-Jackson,74,0.294,0.147,0.29383561643835626,0.18787671232876718
22,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
22,House,26,Anti Masonic,17,0.248,-0.033,0.25941176470588234,-0.01047058823529412
22,House,44,Nullifier,4,-0.3125,0.9085,-0.34324999999999994,0.8035
22,House,555,Jackson,130,-0.29,-0.08449999999999999,-0.27954615384615383,-0.05922307692307695
22,House,1275,Anti-Jackson,67,0.294,0.204,0.2892089552238807,0.20776119402985077
